state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Alabama,2020-02-24,1.0,10.857142857142858,5.285714285714286,23.285714285714285,11.428571428571429,1.2857142857142858,-0.8571428571428571,0.0,0.0
Alabama,2020-03-02,0.952343977,10.714285714285714,6.428571428571429,24.285714285714285,9.142857142857142,2.5714285714285716,-0.42857142857142855,0.0,0.0
Alabama,2020-03-09,0.9190527030000001,5.714285714285714,17.428571428571427,33.285714285714285,7.571428571428571,0.42857142857142855,-0.14285714285714285,11.0,11.0
Alabama,2020-03-16,0.501213239,-21.142857142857142,11.0,18.857142857142858,-8.428571428571429,-20.857142857142858,8.571428571428571,157.0,146.0
Alabama,2020-03-23,0.17315345000000001,-32.857142857142854,-5.0,18.857142857142858,-21.857142857142858,-32.857142857142854,12.857142857142858,825.0,668.0
Alabama,2020-03-30,0.16024458899999997,-35.142857142857146,-1.5714285714285714,5.428571428571429,-28.285714285714285,-36.857142857142854,14.285714285714286,1765.0,940.0
Alabama,2020-04-06,0.09123556200000002,-40.57142857142857,-11.714285714285714,-6.142857142857143,-34.857142857142854,-41.57142857142857,16.0,3563.0,1798.0
Alabama,2020-04-13,0.074832573,-30.428571428571427,-8.714285714285714,0.5714285714285714,-29.714285714285715,-37.285714285714285,14.285714285714286,4888.0,1325.0
Alabama,2020-04-20,0.0980297,-27.285714285714285,-5.714285714285714,9.571428571428571,-25.857142857142858,-36.0,13.857142857142858,6421.0,1533.0
Alabama,2020-04-27,0.10356206899999999,-19.714285714285715,1.5714285714285714,28.285714285714285,-18.428571428571427,-33.285714285714285,11.0,7888.0,1467.0
Alabama,2020-05-04,0.121226827,-15.0,9.285714285714286,28.285714285714285,-11.714285714285714,-30.0,10.142857142857142,9889.0,2001.0
Alabama,2020-05-11,0.12326506800000002,-11.571428571428571,3.2857142857142856,41.714285714285715,-9.142857142857142,-27.142857142857142,9.0,11771.0,1882.0
Alabama,2020-05-18,0.11870329,-8.285714285714286,6.714285714285714,47.42857142857143,-5.428571428571429,-26.285714285714285,8.142857142857142,14478.0,2707.0
Alabama,2020-05-25,0.13539745700000003,-10.857142857142858,3.0,47.0,-4.142857142857143,-29.0,9.285714285714286,17952.0,3474.0
Alabama,2020-06-01,0.25487722,-6.571428571428571,5.857142857142857,41.857142857142854,-2.0,-23.428571428571427,7.428571428571429,20500.0,2548.0
Alabama,2020-06-08,0.235853635,-6.571428571428571,4.142857142857143,51.42857142857143,1.7142857142857142,-22.142857142857142,6.857142857142857,25615.0,5115.0
Alabama,2020-06-15,0.21294768500000003,-4.428571428571429,7.0,67.14285714285714,5.285714285714286,-22.714285714285715,5.571428571428571,30021.0,4406.0
Alabama,2020-06-22,0.225953606,-7.714285714285714,1.4285714285714286,40.42857142857143,4.714285714285714,-23.571428571428573,7.285714285714286,35441.0,5420.0
Alabama,2020-06-29,0.20324177399999993,-7.571428571428571,5.857142857142857,51.857142857142854,3.0,-32.57142857142857,7.857142857142857,43953.0,8512.0
Alabama,2020-07-06,0.186353489,-8.285714285714286,1.8571428571428572,42.285714285714285,4.142857142857143,-26.142857142857142,7.428571428571429,53587.0,9634.0
Alabama,2020-07-13,0.178879938,-8.142857142857142,2.4285714285714284,46.142857142857146,3.7142857142857144,-25.714285714285715,7.0,67011.0,13424.0
Alabama,2020-07-20,0.196156459,-9.714285714285714,0.14285714285714285,39.857142857142854,1.8571428571428572,-25.714285714285715,7.285714285714286,79294.0,12283.0
Alabama,2020-07-27,0.231680093,-8.0,1.2857142857142858,40.142857142857146,1.5714285714285714,-25.714285714285715,7.0,91444.0,12150.0
